application_id,application_date,age,annual_income,employment_years,home_ownership,region,purpose,loan_amount,loan_term_months,interest_rate,credit_score,dti,revolving_utilization,num_open_credit_lines,num_late_payments_2yr,default_flag
APP000001,2024-10-07,39,43980.8,11.0,RENT,West,home_improvement,31212.56,36,11.31,680,7.0,0.116,11,1,0
APP000002,2025-03-06,49,46590.18,16.7,OTHER,West,car,9206.55,36,9.7,737,21.7,0.074,9,1,0
APP000003,2025-06-25,39,68786.59,9.9,MORTGAGE,Northeast,credit_card,15023.49,60,12.54,693,33.1,0,5,0,0
APP000004,2026-01-12,31,35212.47,7.4,MORTGAGE,Midwest,debt_consolidation,31023.17,60,10.35,706,20.9,0,13,1,0
APP000005,2026-05-08,32,62166.56,10.9,RENT,South,medical,18855.69,60,13.03,609,26.4,0.112,10,1,1
APP000006,2025-06-09,57,23528.81,10.7,MORTGAGE,West,credit_card,9307.07,36,17.64,544,32.7,0.056,7,2,1
APP000007,2024-10-09,40,42009.28,10.0,MORTGAGE,South,credit_card,13897.83,60,12.76,674,33.3,0,8,1,0
APP000008,2026-08-30,36,34905.09,8.8,RENT,Midwest,medical,10537.64,36,11.77,680,29.8,0.425,7,1,0
APP000009,2026-04-17,39,51786.87,22.5,RENT,South,home_improvement,7376.52,60,5.0,850,13.3,0.218,13,1,0
APP000010,2026-04-06,33,66622.42,15.5,MORTGAGE,Midwest,debt_consolidation,5699.49,60,16.2,652,10.4,0.211,11,0,0
APP000011,2025-06-29,35,48528.88,11.9,OWN,West,debt_consolidation,7631.44,36,9.37,692,30.2,0.064,10,1,0
APP000012,2025-12-16,33,31858.71,11.4,RENT,West,debt_consolidation,15564.19,60,6.88,782,26.9,0.281,8,1,0
APP000013,2026-01-25,23,38942.01,7,MORTGAGE,South,credit_card,9045.82,60,13.27,653,13.9,0.262,10,0,0
APP000014,2024-03-28,43,28806.99,16.2,OWN,Northeast,credit_card,7012.66,60,5.33,850,31.9,0.199,6,1,0
APP000015,2024-05-20,44,80489.49,5.7,OWN,South,home_improvement,25809.34,36,7.04,772,24.9,0,8,1,0
APP000016,2024-10-17,57,37974.08,15.2,RENT,South,credit_card,23046.68,36,6.44,800,28.0,0.037,13,2,0
APP000017,2023-10-09,49,25809.35,10.7,MORTGAGE,West,car,16797.05,60,9.11,705,29.5,0,7,1,0
APP000018,2023-12-16,44,51889.61,14.3,MORTGAGE,West,debt_consolidation,45000,36,9.37,720,13.9,0,7,1,0
APP000019,2024-07-16,40,43824.96,14.4,RENT,West,credit_card,43492.58,36,12.83,648,33.3,0,12,1,0
APP000020,2024-04-09,45,96408.39,2.3,OWN,West,car,30744.85,36,6.63,798,20.3,0,1,2,0
APP000021,2026-01-12,37,48859.3,12.5,MORTGAGE,Midwest,vacation,8244.41,36,14.52,627,37.0,0,5,2,0
APP000022,2024-09-22,38,76384.73,12.4,RENT,South,major_purchase,13365.78,36,14.65,642,35.9,0,13,1,0
APP000023,2024-02-23,39,48729.19,10.1,OWN,Midwest,home_improvement,21191.92,36,11.53,621,25.8,0,1,2,0
APP000024,2026-02-25,54,76591.04,11.0,RENT,South,medical,19941.67,60,8.22,703,26.2,0,15,0,0
APP000025,2025-02-01,34,67217.53,14.5,MORTGAGE,South,debt_consolidation,17071.59,36,12.3,621,19.0,0.082,7,2,0
APP000026,2024-12-20,38,66101.71,8.7,RENT,Midwest,other,11781.09,60,8.66,742,25.2,0,8,0,0
APP000027,2026-04-03,41,46857.13,19.7,RENT,South,medical,7135.22,36,15.2,588,10.3,0.137,3,1,0
APP000028,2024-03-18,51,43784.38,10.5,RENT,Northeast,debt_consolidation,23729.67,36,11.89,694,24.4,0,7,0,0
APP000029,2024-03-25,34,109012.25,3.4,RENT,South,medical,19385.7,36,13.68,657,22.2,0,17,1,0
APP000030,2023-11-18,31,138453.45,8.9,RENT,South,other,12850.72,36,9.11,749,14.6,0,13,1,0
APP000031,2025-01-14,42,93007.57,8.0,OTHER,South,car,22413.37,36,16.27,575,27.9,0,11,1,0
APP000032,2024-07-23,40,58647.02,16.5,MORTGAGE,Midwest,small_business,11863.02,36,10.0,683,32.5,0.38,6,1,0
APP000033,2024-02-11,38,78523.23,15.5,MORTGAGE,South,debt_consolidation,10655.68,36,11.47,704,39.2,0,4,3,0
APP000034,2024-12-29,42,73923.8,14.3,RENT,Midwest,major_purchase,27510.41,36,11.62,684,14.8,0,5,1,0
APP000035,2024-09-26,62,42613.46,15.0,RENT,Midwest,credit_card,6731.83,36,7.43,750,31.8,0.212,12,0,0
APP000036,2025-11-27,40,47677.69,9.6,OWN,Midwest,medical,8649.76,60,13.79,608,17.6,0,14,2,0
APP000037,2024-06-12,55,42247.7,7.1,MORTGAGE,South,small_business,41143.23,36,16.07,576,14.2,0,11,1,1
APP000038,2025-11-30,37,57923.15,12.3,OWN,South,debt_consolidation,21981.54,36,10.75,677,15.0,0.203,3,0,0
APP000039,2026-07-22,21,76494.38,5,RENT,South,car,7358.94,36,15.12,580,13.6,0.262,5,1,0
APP000040,2024-11-09,44,97366.82,12.9,OTHER,West,home_improvement,17870.57,36,11.42,637,6.3,0,4,0,1
APP000041,2024-11-13,40,51341.12,15.1,RENT,West,other,7072.9,36,6.63,770,26.2,0,3,0,0
APP000042,2024-01-06,38,57427.02,6.9,RENT,South,credit_card,9762.69,36,13.06,615,18.4,0.138,7,1,1
APP000043,2026-01-25,44,94619.42,9.7,MORTGAGE,South,credit_card,14520.23,36,11.6,602,15.4,0.065,8,2,1
APP000044,2026-02-28,53,48554.46,11.2,OWN,Midwest,credit_card,14076.0,36,8.6,746,23.5,0.055,2,0,0
APP000045,2025-01-31,44,45256.86,18.1,MORTGAGE,Midwest,credit_card,6332.8,60,10.52,665,5.0,0.375,4,0,0
APP000046,2024-04-07,27,131955.64,7.5,MORTGAGE,South,credit_card,10735.05,60,9.81,743,20.8,0.209,10,0,0
APP000047,2025-11-05,38,27839.28,6.0,RENT,West,credit_card,39247.25,36,15.77,579,14.2,0.219,6,1,1
APP000048,2026-05-11,48,63639.17,3.9,MORTGAGE,South,car,5781.34,36,13.45,609,23.7,0.274,3,1,0
APP000049,2026-06-15,53,31245.05,15.0,MORTGAGE,South,other,3961.38,60,11.45,663,41.0,0.055,8,0,0
APP000050,2024-09-17,54,47964.17,8.5,RENT,South,medical,20353.16,60,10.5,683,14.4,0.007,10,0,0
APP000051,2025-11-26,31,20564.13,4.7,RENT,West,debt_consolidation,16374.28,36,6.28,778,33.5,0.289,21,1,0
APP000052,2025-05-02,49,81161.49,4.5,OWN,Northeast,medical,18289.78,36,11.18,685,11.3,0.268,1,1,0
APP000053,2025-10-10,46,82811.83,5.7,OWN,Northeast,home_improvement,19074.63,60,5.0,850,12.6,0.031,15,0,0
APP000054,2026-03-25,67,37202.66,0,RENT,West,debt_consolidation,3771.61,36,8.01,764,20.6,0,9,1,0
APP000055,2025-08-16,42,131137.39,15.3,MORTGAGE,Midwest,major_purchase,8683.67,36,14.99,567,30.0,0.097,7,1,0
APP000056,2024-01-26,37,89311.72,18.7,MORTGAGE,South,medical,4654.71,36,9.65,730,12.6,0.396,7,0,0
APP000057,2024-03-23,33,20381.1,12.5,RENT,Northeast,car,4130.99,36,8.81,711,26.0,0,10,0,0
APP000058,2024-09-11,28,54680.11,0,MORTGAGE,South,debt_consolidation,15816.07,36,8.03,831,32.8,0.417,6,0,0
APP000059,2025-11-26,25,68709.66,9,RENT,South,debt_consolidation,11331.72,36,17.38,557,20.6,0.411,9,1,0
APP000060,2024-11-18,39,79084.34,12.0,MORTGAGE,West,debt_consolidation,23637.29,36,10.95,729,12.3,0,11,0,0
APP000061,2023-12-28,37,43647.71,4.7,RENT,South,home_improvement,6074.53,60,8.11,759,35.1,0.184,15,0,0
APP000062,2025-12-21,38,67162.32,22,MORTGAGE,West,credit_card,18549.84,60,6.32,786,18.1,0.217,5,0,0
APP000063,2025-01-18,37,71806.43,10.2,MORTGAGE,Midwest,debt_consolidation,13461.41,36,13.0,647,19.0,0.2,16,0,0
APP000064,2025-11-19,33,49016.65,14.2,RENT,South,credit_card,7351.2,36,14.52,614,27.7,0.263,11,0,1
APP000065,2026-05-23,38,61918.55,17.7,RENT,South,vacation,7921.34,60,9.71,721,17.6,0,3,1,0
APP000066,2024-08-16,57,37454.32,9.7,OWN,South,home_improvement,6538.98,36,14.46,632,15.2,0.203,11,1,0
APP000067,2024-12-29,46,55003.46,18.8,MORTGAGE,Midwest,debt_consolidation,13325.4,60,10.57,737,28.8,0,5,0,0
APP000068,2025-08-09,41,119360.91,16.8,MORTGAGE,West,medical,17910.85,36,7.22,743,15.6,0.056,6,0,0
APP000069,2025-03-11,38,70580.47,15.2,RENT,West,debt_consolidation,6566.13,36,10.83,718,0,0.472,9,1,0
APP000070,2024-09-24,36,92490.54,8.0,RENT,West,other,17992.91,60,11.1,670,20.3,0.223,11,0,0
APP000071,2024-01-03,30,36742.4,3.7,MORTGAGE,Northeast,major_purchase,40189.23,60,11.86,685,26.8,0.434,8,0,0
APP000072,2024-01-19,42,62205.84,8.3,RENT,Midwest,other,13008.92,60,9.21,794,18.1,0.367,0,0,0
APP000073,2026-08-21,45,91343.1,7.0,RENT,Northeast,credit_card,8614.28,60,9.83,687,20.3,0,4,1,0
APP000074,2024-07-30,50,80922.91,16.9,RENT,Midwest,car,8837.81,36,12.65,671,26.6,0,9,1,0
APP000075,2026-01-08,28,59952.79,7.9,MORTGAGE,South,credit_card,8557.39,36,9.92,702,29.4,0.39,8,1,0
APP000076,2024-04-26,24,47352.2,8,OWN,South,other,8462.61,36,11.49,638,8.1,0,6,1,0
APP000077,2026-08-02,51,92260.07,7.9,RENT,South,debt_consolidation,17768.61,36,5.0,850,34.5,0,12,2,0
APP000078,2023-11-23,45,80462.11,3.5,MORTGAGE,Midwest,credit_card,16635.71,36,10.22,729,32.3,0,9,4,0
APP000079,2024-10-27,31,45349.51,15,RENT,South,credit_card,10418.58,36,14.14,663,12.3,0,9,0,0
APP000080,2023-09-07,19,39674.18,3,MORTGAGE,South,debt_consolidation,28770.95,36,8.42,761,15.7,0.14,3,0,0
APP000081,2024-10-12,37,95655.86,17.3,MORTGAGE,Midwest,debt_consolidation,13094.71,36,9.97,732,6.9,0.306,16,1,0
APP000082,2023-12-19,63,22074.96,7.6,MORTGAGE,Midwest,car,8774.48,60,12.61,618,4.8,0,9,1,0
APP000083,2025-04-23,56,51301.67,12.7,RENT,West,credit_card,26734.36,36,11.16,673,9.8,0,10,0,0
APP000084,2025-07-06,40,33174.58,17.0,RENT,West,car,12767.07,36,15.21,595,23.8,0,8,1,0
APP000085,2024-07-17,41,50515.23,2.5,RENT,Northeast,medical,9817.31,36,8.76,721,28.3,0.307,10,2,0
APP000086,2024-07-07,50,21791.2,11.4,MORTGAGE,South,home_improvement,10308.05,36,11.11,658,16.1,0,3,0,1
APP000087,2025-07-30,23,81565.83,7,RENT,Midwest,small_business,18143.12,60,9.31,750,21.7,0.188,8,0,0
APP000088,2024-11-05,43,28063.15,2.9,MORTGAGE,South,debt_consolidation,21946.28,36,9.45,784,17.1,0.178,10,1,0
APP000089,2024-07-23,46,27768.77,6.5,MORTGAGE,South,credit_card,20300.04,36,15.65,606,20.1,0.104,6,3,1
APP000090,2026-08-13,57,64607.56,6.2,MORTGAGE,West,debt_consolidation,8182.01,36,10.03,746,8.5,0.278,15,1,0
APP000091,2023-10-02,44,63476.72,21.8,RENT,South,small_business,6040.74,36,10.29,704,31.5,0,13,0,0
APP000092,2026-07-06,42,24410.0,10.3,RENT,West,home_improvement,10751.57,36,12.41,624,41.6,0.338,13,0,0
APP000093,2024-02-09,51,52076.08,7.6,OWN,Midwest,debt_consolidation,6842.89,36,10.05,704,29.9,0.089,4,1,0
APP000094,2026-05-17,26,35968.08,5.6,MORTGAGE,West,major_purchase,11864.36,36,6.44,796,28.3,0.208,14,0,0
APP000095,2026-01-13,54,37535.79,9.9,RENT,South,small_business,11892.02,60,16.09,582,16.5,0,11,1,0
APP000096,2024-04-10,56,78778.37,2.3,OWN,West,debt_consolidation,17415.41,36,11.95,655,24.1,0.31,12,0,0
APP000097,2025-04-15,46,46858.64,15.1,MORTGAGE,West,car,5293.73,60,13.16,621,19.9,0.312,14,0,0
APP000098,2026-04-27,23,48740.04,0.8,RENT,West,debt_consolidation,17944.04,60,11.33,660,8.2,0,2,0,0
APP000099,2025-02-19,18,90345.73,2,OWN,West,debt_consolidation,2707.95,36,10.62,661,29.3,0,13,0,0
APP000100,2026-02-06,47,112178.46,7.6,RENT,Northeast,credit_card,17037.65,60,14.49,591,18.1,0.063,9,1,1
APP000101,2025-11-21,34,33859.48,15.7,OWN,Northeast,debt_consolidation,9387.81,60,9.81,771,16.8,0.215,10,1,0
APP000102,2024-04-25,58,79240.39,4.3,RENT,Northeast,home_improvement,5837.6,60,13.1,614,16.9,0,6,0,0
APP000103,2026-05-08,33,55760.9,2.7,OWN,Northeast,major_purchase,45000,36,13.78,607,21.9,0.22,5,0,1
APP000104,2025-03-14,68,80020.08,10.5,MORTGAGE,South,car,21164.25,36,10.12,673,22.7,0.018,9,0,0
APP000105,2024-04-28,37,52106.04,10.9,OWN,South,debt_consolidation,25515.05,36,13.71,587,22.0,0.275,8,1,0
APP000106,2025-07-30,50,58559.66,7.2,RENT,West,debt_consolidation,8169.7,60,10.04,825,20.5,0.158,7,0,0
APP000107,2024-02-08,21,77454.35,0,OTHER,Midwest,debt_consolidation,5470.13,36,11.49,762,22.5,0.049,11,1,0
APP000108,2024-01-23,40,25735.39,19.4,RENT,Northeast,debt_consolidation,22667.26,36,7.22,800,3.3,0,12,1,0
APP000109,2025-04-10,49,80488.05,15.9,RENT,Midwest,debt_consolidation,25492.6,60,15.84,538,26.5,0,6,2,0
APP000110,2024-07-12,44,72691.55,13.5,RENT,West,car,24310.19,36,9.87,710,25.2,0.353,12,1,0
APP000111,2023-12-16,45,39329.03,15.7,RENT,South,car,8962.55,36,10.1,706,20.2,0.166,7,0,0
APP000112,2024-06-30,54,59416.33,11.8,RENT,South,debt_consolidation,30965.85,60,11.65,708,25.0,0.266,5,0,0
